simulated_time,server_utilization,avg_queue_length,avg_system_length,throughput,mean_wait_A,mean_wait_B,mean_wait_total,mean_sojourn_A,mean_sojourn_B,mean_sojourn_total,p95_wait_total,drop_rate_total,drop_rate_A,drop_rate_B,promoted_fraction_A,completed_A,completed_B,cenario,grupo,rep_id
33255.05862972924,0.7488762148415339,2.24100821006942,2.989884424910994,0.7517653262427446,2.994271747828098,2.9548121329756523,2.9809943766225544,3.9953843275961867,3.941196697618031,3.9771512738611525,10.691117367716515,0.0,0.0,0.0,0.0,16588,8412,fifo_mm1,disciplinas,0
33410.555922167994,0.7471865020794919,2.4183603127547957,3.1655468148343067,0.7482665076941276,3.2253753175434183,3.244918020257731,3.231888509504051,4.222282099737643,4.2467752173776585,4.230445165984704,12.350431917702736,0.0,0.0,0.0,0.0,16668,8332,fifo_mm1,disciplinas,1
33510.833070412074,0.7373893070856715,2.200143604612972,2.937532911698637,0.7460274099265352,2.9343976841206296,2.9782297994782865,2.9490691697731566,3.924298318120123,3.963710515656037,3.9374903688793355,11.258998951992908,0.0,0.0,0.0,0.0,16632,8368,fifo_mm1,disciplinas,2
33319.94479590134,0.7605321757903363,2.465712662005536,3.226244837795856,0.7503013631365688,3.2968800078931966,3.265693018648665,3.2862963912231695,4.311080897593446,4.278228169350128,4.299931995736801,12.554893692420592,0.0,0.0,0.0,0.0,16516,8484,fifo_mm1,disciplinas,3
33082.199264603594,0.7608541986228928,2.375370003283228,3.136224201906121,0.7556934108292138,3.149205556695194,3.1297784728246127,3.1428257023520914,4.1527613746608925,4.143301983970652,4.149654910758222,10.967840276764036,0.0,0.0,0.0,0.0,16790,8210,fifo_mm1,disciplinas,4
33583.86708704312,0.7448768395024361,2.1663804118850716,2.911257251387553,0.7444050423140569,2.923709302856591,2.883492209892171,2.9102172725088917,3.9211924760707837,3.890366755910896,3.9108510634715254,10.405516843891746,0.0,0.0,0.0,0.0,16613,8387,fifo_mm1,disciplinas,5
33669.48336414395,0.7432404594666931,2.1378801562932845,2.8811206157599587,0.7425121356814033,2.8682214586994266,2.8995664278595243,2.8786844094050776,3.8721993355936943,3.894565918081016,3.879665300827971,10.568262554551438,0.0,0.0,0.0,0.0,16655,8345,fifo_mm1,disciplinas,6
33255.05862972924,0.7488762148415339,2.24100821006942,2.989884424910994,0.7517653262427446,3.9874878022059894,0.9962448588410339,2.980994376622557,4.983141583521578,1.993393872928241,3.977151273861137,12.427349965208123,0.0,0.0,0.0,0.0,16588,8412,prioridade_estrita,disciplinas,0
33410.555922167994,0.7471865020794919,2.4183603127547957,3.1655468148343067,0.7482665076941276,4.313980693731998,1.0671846536817413,3.2318885095040475,5.307837410817739,2.0751434452841195,4.230445165984683,14.038184818655282,0.0,0.0,0.0,0.0,16668,8332,prioridade_estrita,disciplinas,1
33510.833070412074,0.7373893070856715,2.200143604612972,2.937532911698637,0.7460274099265352,3.93442649889078,0.9906008263357257,2.949069169773144,4.922158078008954,1.9803926946149772,3.9374903688793337,12.969029948861134,0.0,0.0,0.0,0.0,16632,8368,prioridade_estrita,disciplinas,2
33319.94479590134,0.7605321757903363,2.465712662005536,3.226244837795856,0.7503013631365688,4.45604277175759,1.0091239229409497,3.286296391223181,5.470167927109324,2.0218065074590115,4.2999319957368085,14.336274625637088,0.0,0.0,0.0,0.0,16516,8484,prioridade_estrita,disciplinas,3
33082.199264603594,0.7608541986228928,2.375370003283228,3.136224201906121,0.7556934108292138,4.185312797837732,1.0111964250041614,3.1428060163442804,5.1948019410661965,2.012586874948142,4.149635224750381,12.936021094101307,0.0,0.0,0.0,0.0,16789,8211,prioridade_estrita,disciplinas,4
33583.86708704312,0.7448768395024361,2.1663804118850716,2.911257251387553,0.7444050423140569,3.877949954672157,0.9933288679806672,2.910217272508893,4.878201446365701,1.994719918721248,3.9108510634715326,12.512292581381189,0.0,0.0,0.0,0.0,16613,8387,prioridade_estrita,disciplinas,5
33669.48336414395,0.7432404594666931,2.1378801562932845,2.8811206157599587,0.7425121356814033,3.8194289067886085,1.0014135062860294,2.8786626454848574,4.8262436781601075,1.990753199929776,3.8796435369076776,12.51208641528072,0.0,0.0,0.0,0.0,16654,8346,prioridade_estrita,disciplinas,6
33255.05862972924,0.7488762148415339,2.24100821006942,2.989884424910994,0.7517653262427446,3.420588896757741,2.114138230640326,2.9809943766225593,4.415282626221136,3.1131804140243093,3.9771512738611716,10.936158064367191,0.0,0.0,0.0,0.4862551241861587,16588,8412,prioridade_dinamica,disciplinas,0
33410.555922167994,0.7471865020794919,2.4183603127547957,3.1655468148343067,0.7482665076941276,3.644860235304989,2.405746799752474,3.2318885095040475,4.637869247173468,3.4154014087530395,4.230445165984683,12.549458710040213,0.0,0.0,0.0,0.4860519527266183,16668,8332,prioridade_dinamica,disciplinas,1
33510.833070412074,0.7373893070856715,2.200143604612972,2.937532911698637,0.7460274099265352,3.33496329920252,2.1820769182591317,2.9490691697731592,4.327388608599633,3.1625396610604772,3.937490368879343,11.534684065016336,0.0,0.0,0.0,0.46449828653880837,16632,8368,prioridade_dinamica,disciplinas,2
33319.94479590134,0.7605321757903363,2.465712662005536,3.226244837795856,0.7503013631365688,3.7593602888733026,2.365371905887291,3.286296391223158,4.77122028985573,3.3824641190667983,4.299931995736805,12.82290797132464,0.0,0.0,0.0,0.5099903124243158,16516,8484,prioridade_dinamica,disciplinas,3
33082.199264603594,0.7608541986228928,2.375370003283228,3.136224201906121,0.7556934108292138,3.5643832255728025,2.280808724207169,3.142806016344264,4.5679224272871055,3.2943649965943838,4.14963522475041,11.351729032019648,0.0,0.0,0.0,0.5029180562172463,16789,8211,prioridade_dinamica,disciplinas,4
33583.86708704312,0.7448768395024361,2.1663804118850716,2.911257251387553,0.7444050423140569,3.3535142081095235,2.03213309567175,2.910217272508901,4.353949486061815,3.0331601019248295,3.9108510634715405,10.789986818359466,0.0,0.0,0.0,0.48564377294889544,16613,8387,prioridade_dinamica,disciplinas,5
33669.48336414395,0.7432404594666931,2.1378801562932845,2.8811206157599587,0.7425121356814033,3.2752894217787083,2.087214966069716,2.8786626454848214,4.280198553728344,3.080357262029784,3.879643536907687,10.899068654133771,0.0,0.0,0.0,0.47046818727490997,16654,8346,prioridade_dinamica,disciplinas,6
33255.05862972924,0.7488762148415339,2.24100821006942,2.989884424910994,0.7517653262427446,3.3118438752107457,2.3285774148321177,2.9809943766225606,4.309768033498638,3.32124937076241,3.977151273861165,10.80733528331075,0.0,0.0,0.0,0.5954907161803713,16588,8412,prioridade_dinamica_T1,sensibilidade_T,0
33410.555922167994,0.7471865020794919,2.4183603127547957,3.1655468148343067,0.7482665076941276,3.541544669339014,2.6124275310919898,3.231888509504058,4.534667789990331,3.621853867745872,4.230445165984677,12.475318610237082,0.0,0.0,0.0,0.5945767592537045,16668,8332,prioridade_dinamica_T1,sensibilidade_T,1
33510.833070412074,0.7373893070856715,2.200143604612972,2.937532911698637,0.7460274099265352,3.2361973393955936,2.378381345064685,2.9490691697731566,4.225267425595416,3.365512834545893,3.937490368879327,11.435359312908076,0.0,0.0,0.0,0.5759634461612457,16632,8368,prioridade_dinamica_T1,sensibilidade_T,2
33319.94479590134,0.7605321757903363,2.465712662005536,3.226244837795856,0.7503013631365688,3.6414101813138933,2.594988121876344,3.2862963912231598,4.6506957144677505,3.617092111418017,4.299931995736807,12.665389519567725,0.0,0.0,0.0,0.6186122547832404,16516,8484,prioridade_dinamica_T1,sensibilidade_T,3
33082.199264603594,0.7608541986228928,2.375370003283228,3.136224201906121,0.7556934108292138,3.4627261699784486,2.4886665133161094,3.1428060163442693,4.46567688248314,3.5034260673182596,4.149635224750382,11.191015091153531,0.0,0.0,0.0,0.6120176274416389,16789,8211,prioridade_dinamica_T1,sensibilidade_T,4
33583.86708704312,0.7448768395024361,2.1663804118850716,2.911257251387553,0.7444050423140569,3.2453078629733256,2.2464686163284426,2.9102172725089046,4.246017704592327,3.246951765875309,3.9108510634715676,10.697142643020925,0.0,0.0,0.0,0.5950159513633901,16613,8387,prioridade_dinamica_T1,sensibilidade_T,5
33669.48336414395,0.7432404594666931,2.1378801562932845,2.8811206157599587,0.7425121356814033,3.1700469024029205,2.297220827282814,2.8786626454848228,4.1787699693502285,3.2827526183960827,3.8796435369076905,10.759271354789234,0.0,0.0,0.0,0.5806122448979592,16654,8346,prioridade_dinamica_T1,sensibilidade_T,6
33255.05862972924,0.7488762148415339,2.24100821006942,2.989884424910994,0.7517653262427446,3.420588896757741,2.114138230640326,2.9809943766225593,4.415282626221136,3.1131804140243093,3.9771512738611716,10.936158064367191,0.0,0.0,0.0,0.4862551241861587,16588,8412,prioridade_dinamica_T2,sensibilidade_T,0
33410.555922167994,0.7471865020794919,2.4183603127547957,3.1655468148343067,0.7482665076941276,3.644860235304989,2.405746799752474,3.2318885095040475,4.637869247173468,3.4154014087530395,4.230445165984683,12.549458710040213,0.0,0.0,0.0,0.4860519527266183,16668,8332,prioridade_dinamica_T2,sensibilidade_T,1
33510.833070412074,0.7373893070856715,2.200143604612972,2.937532911698637,0.7460274099265352,3.33496329920252,2.1820769182591317,2.9490691697731592,4.327388608599633,3.1625396610604772,3.937490368879343,11.534684065016336,0.0,0.0,0.0,0.46449828653880837,16632,8368,prioridade_dinamica_T2,sensibilidade_T,2
33319.94479590134,0.7605321757903363,2.465712662005536,3.226244837795856,0.7503013631365688,3.7593602888733026,2.365371905887291,3.286296391223158,4.77122028985573,3.3824641190667983,4.299931995736805,12.82290797132464,0.0,0.0,0.0,0.5099903124243158,16516,8484,prioridade_dinamica_T2,sensibilidade_T,3
33082.199264603594,0.7608541986228928,2.375370003283228,3.136224201906121,0.7556934108292138,3.5643832255728025,2.280808724207169,3.142806016344264,4.5679224272871055,3.2943649965943838,4.14963522475041,11.351729032019648,0.0,0.0,0.0,0.5029180562172463,16789,8211,prioridade_dinamica_T2,sensibilidade_T,4
33583.86708704312,0.7448768395024361,2.1663804118850716,2.911257251387553,0.7444050423140569,3.3535142081095235,2.03213309567175,2.910217272508901,4.353949486061815,3.0331601019248295,3.9108510634715405,10.789986818359466,0.0,0.0,0.0,0.48564377294889544,16613,8387,prioridade_dinamica_T2,sensibilidade_T,5
33669.48336414395,0.7432404594666931,2.1378801562932845,2.8811206157599587,0.7425121356814033,3.2752894217787083,2.087214966069716,2.8786626454848214,4.280198553728344,3.080357262029784,3.879643536907687,10.899068654133771,0.0,0.0,0.0,0.47046818727490997,16654,8346,prioridade_dinamica_T2,sensibilidade_T,6
